Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Event Type,Location,Dining Option,Customer ID,Customer Reference ID,Unit,Count
11/10/2018,11:38:27,Eastern Time (US & Canada),Chicken,Curry chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,bFEAMXlt0FwWTaD4kJZOR8weV,lKvPwcnQ0pb94JwJas3zczMF,,,Payment,Authentic by Zee,,RJCX7J897D7SEPSVA0W9BNXMBW,,ea,1
11/10/2018,11:31:52,Eastern Time (US & Canada),Beef,Short Ribs,2,Regular,,,$17.00 ,$0.00 ,$17.00 ,$1.19 ,tWevEwD79tSbSZodGwCRUl7eV,lmO8tGx8eMavJ1IKlB9lLQB,,,Payment,Authentic by Zee,,,,ea,2
11/10/2018,11:30:23,Eastern Time (US & Canada),None,Chicken Fajitas,1,Regular,,,$7.50 ,$0.00 ,$7.50 ,$0.52 ,71EMe7nYb2V6loDMRKYrGY5eV,XpFV5mb20LC6NCMSeSldKQB,,"Chicken Breast grilled and cut up served on a flour tortilla, with seared bell peppers and onions with just the right amount of Cheesy goodness !",Payment,Authentic by Zee,,,,ea,1
11/10/2018,11:30:23,Eastern Time (US & Canada),None,Custom Amount,1,,,,$3.00 ,$0.00 ,$3.00 ,$0.00 ,71EMe7nYb2V6loDMRKYrGY5eV,XpFV5mb20LC6NCMSeSldKQB,,,Payment,Authentic by Zee,,,,ea,1
11/3/2018,11:45:33,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Regular,,,$6.00 ,$0.00 ,$6.00 ,$0.42 ,j3Rva5hsnUdRoICasrirvbreV,JGRu7Ms56i9jR9fXy2M4KQB,,,Payment,Authentic by Zee,,,,ea,1
11/3/2018,11:42:42,Eastern Time (US & Canada),None,Curry Tofu,1,Regular,,,$7.50 ,$0.00 ,$7.50 ,$0.00 ,LbtNkTNcIv8xyenBsxOTtAieV,deD5LeaAlZTLhLLVQbWbNxMF,,"Lightly seared Extra Firm Tofu, sauced up in Zee's extravagant Curry with mixed veggies",Payment,Authentic by Zee,,3D9S2PT3H92CMVRVVG3CRRC1VR,,ea,1
11/3/2018,11:42:42,Eastern Time (US & Canada),Beef,Short Ribs,2,Regular,,,$17.00 ,$0.00 ,$17.00 ,$0.00 ,LbtNkTNcIv8xyenBsxOTtAieV,deD5LeaAlZTLhLLVQbWbNxMF,,,Payment,Authentic by Zee,,3D9S2PT3H92CMVRVVG3CRRC1VR,,ea,2
11/3/2018,11:42:42,Eastern Time (US & Canada),None,Custom Amount,1,,,,$6.00 ,$0.00 ,$6.00 ,$0.00 ,LbtNkTNcIv8xyenBsxOTtAieV,deD5LeaAlZTLhLLVQbWbNxMF,,,Payment,Authentic by Zee,,3D9S2PT3H92CMVRVVG3CRRC1VR,,ea,1
11/3/2018,11:42:35,Eastern Time (US & Canada),Chicken,Jerk Chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.46 ,r9UQg41iGk3zFQ60RHI2l70eV,OmPmIu5WB3NWKtyxNwQbyxMF,,"Grilled to bronzed, then stewed down in a as hot as you can stand it homemade Jerk Sauce.",Payment,Authentic by Zee,,9FY2KQCGFX3E7A6SR5D0YPWCSM,,ea,1
11/3/2018,11:36:17,Eastern Time (US & Canada),None,Custom Amount,1,,,,$8.00 ,$0.00 ,$8.00 ,$0.00 ,pAIh2dqxqZ3Eqz5v5XvzwNgeV,RCv3tRPYuWrAX2MXePKrXuMF,,,Payment,Authentic by Zee,,359D7MA13X2VGSZGCNZXVY3Q2R,,ea,1
10/31/2018,13:54:13,Eastern Time (US & Canada),None,Custom Amount,1,,,,$484.74 ,$0.00 ,$484.74 ,$0.00 ,VcjTzaXffFDAhUlU0J1osq6eV,JW5OfkjQZZ8S7WAUIKv5KQB,,,Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Whole Pan (Dark),,,$95.00 ,($17.10),$77.90 ,$5.45 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,,Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Whole Pan (White),,,$115.00 ,($20.70),$94.30 ,$0.00 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,,Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),Drinks,Home Squeezed Lemonade,2,Whole Gallon,,,$18.00 ,($3.24),$14.76 ,$1.03 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,"This item will come with 4 Gallons, its priced this way to be more cost efficient.",Payment,Authentic by Zee,,,,ea,2
10/31/2018,13:52:38,Eastern Time (US & Canada),Sides,Baked Mac,1,Whole Pan,31,,$55.00 ,($9.90),$45.10 ,$3.16 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,,Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),Sides,CORNBREAD CASSEROLE ,2,Whole Pan,,,$70.00 ,($12.60),$57.40 ,$4.02 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,,Payment,Authentic by Zee,,,,ea,2
10/31/2018,13:52:38,Eastern Time (US & Canada),Dessert,Oreo Cheesecake Brownie,1,Large Pan (feeds 30-38),,,$62.00 ,($11.16),$50.84 ,$3.56 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,"This item will be individually packaged, its priced this way to be cost efficient. You will have 33. ",Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),Dessert,'Nana Pudding,2,Whole Pan,,,$50.00 ,($9.00),$41.00 ,$2.87 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,"This will be delivered in individual cups for your convenience, it's just priced this way to be more cost efficient.  You will have 32.",Payment,Authentic by Zee,,,,ea,2
10/31/2018,13:52:38,Eastern Time (US & Canada),None,Water,1,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,,Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),None,Set up Fee,1,Regular,,,$50.00 ,($9.00),$41.00 ,$2.87 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,"Set- Up fee provides that ABZ will provide:
 Plates
 Cups
Utensils
Napkins
Table Clothes (Tables NOT included)
Decorative Design",Payment,Authentic by Zee,,,,ea,1
10/31/2018,13:52:38,Eastern Time (US & Canada),Sides,Cabbage,1,Whole Pan,71,,$45.00 ,($8.10),$36.90 ,$2.58 ,1Y9NpBgoX3mWj9yZOTd1h92eV,NEbm8mfkSDj1fpjJMES9JQB,,,Payment,Authentic by Zee,,,,ea,1
10/27/2018,15:16:47,Eastern Time (US & Canada),Chicken,Curry chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.45 ,vzcNhlu3nmOg4YRFCjviFq6eV,ile2ABC6NmzpzZvRgprDRsMF,,Mac and Rice,Payment,Authentic by Zee,,HS80KZNZPD4NZBC3BVTX8BVX3G,,ea,1
10/27/2018,15:16:47,Eastern Time (US & Canada),Chicken,Jerk Chicken,4,Regular,,,$26.00 ,$0.00 ,$26.00 ,$1.82 ,vzcNhlu3nmOg4YRFCjviFq6eV,ile2ABC6NmzpzZvRgprDRsMF,,Cornbread and Rice,Payment,Authentic by Zee,,HS80KZNZPD4NZBC3BVTX8BVX3G,,ea,4
10/27/2018,15:16:47,Eastern Time (US & Canada),Chicken,Jerk Chicken,2,Regular,,,$13.00 ,$0.00 ,$13.00 ,$0.91 ,vzcNhlu3nmOg4YRFCjviFq6eV,ile2ABC6NmzpzZvRgprDRsMF,,Mac and Rice,Payment,Authentic by Zee,,HS80KZNZPD4NZBC3BVTX8BVX3G,,ea,2
10/27/2018,15:16:47,Eastern Time (US & Canada),None,Chicken Fajitas,3,Regular,,,$22.50 ,$0.00 ,$22.50 ,$1.58 ,vzcNhlu3nmOg4YRFCjviFq6eV,ile2ABC6NmzpzZvRgprDRsMF,,Mac and Rice,Payment,Authentic by Zee,,HS80KZNZPD4NZBC3BVTX8BVX3G,,ea,3
10/27/2018,15:16:47,Eastern Time (US & Canada),None,Chicken Fajitas,1,Regular,,,$7.50 ,$0.00 ,$7.50 ,$0.52 ,vzcNhlu3nmOg4YRFCjviFq6eV,ile2ABC6NmzpzZvRgprDRsMF,,DBL Rice,Payment,Authentic by Zee,,HS80KZNZPD4NZBC3BVTX8BVX3G,,ea,1
10/20/2018,12:13:35,Eastern Time (US & Canada),None,Custom Amount,1,,,,$7.50 ,$0.00 ,$7.50 ,$0.00 ,pcWlec0zdbl7sq2NZcK8GpxeV,t5YwDuLKzsgIR0JWmEL0bvMF,,,Payment,Authentic by Zee,,7RQJDGCMXH10JXMSMRVXWMK7M4,,ea,1
10/20/2018,12:12:15,Eastern Time (US & Canada),None,Custom Amount,1,,,,$8.00 ,$0.00 ,$8.00 ,$0.00 ,XrsIfLukvo0SRBNg1lyYmv9eV,Gm1409dw22ZkKhJZ2DW8buMF,,,Payment,Authentic by Zee,,VGMBTYC4X519PSGCD3K56AMYER,,ea,1
10/20/2018,12:02:20,Eastern Time (US & Canada),Chicken,Curry chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.46 ,ps8Qwy8qYhCNbPFRU2M7JDmeV,s8yIQShGtdvXP1jJCOJXusMF,,,Payment,Authentic by Zee,,359D7MA13X2VGSZGCNZXVY3Q2R,,ea,1
10/20/2018,11:50:24,Eastern Time (US & Canada),None,Custom Amount,1,,,,$10.50 ,$0.00 ,$10.50 ,$0.00 ,JMuP9csNfrz6KRI2htEkQ8eeV,yZCBAD6Ed0nxKdmQ0lFFYtMF,,,Payment,Authentic by Zee,,DSRW7N7SK917MV3JFXZ9HXMRBM,,ea,1
10/20/2018,11:48:27,Eastern Time (US & Canada),None,Custom Amount,1,,,,$24.00 ,$0.00 ,$24.00 ,$0.00 ,hS1c9m6w9Bajug7vNfUDaTxeV,ceIjR1OeUjCqCOf1mfte0xMF,,,Payment,Authentic by Zee,,4N4QARHA2S2PASE9H83XR4GAVR,,ea,1
10/20/2018,11:46:07,Eastern Time (US & Canada),None,Custom Amount,1,,,,$9.00 ,$0.00 ,$9.00 ,$0.00 ,9cPYi7D097mZ2aJQJ3t1ElzeV,QWuwzYdQIHO3ugkdSTNG6xMF,,,Payment,Authentic by Zee,,9FY2KQCGFX3E7A6SR5D0YPWCSM,,ea,1
10/17/2018,11:59:06,Eastern Time (US & Canada),None,Jerk Chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.46 ,xyrbwlKCsDayGWoyUDOx1fqeV,VlsF7MVKDjTX5myId2Gu1yMF,,Juicy Grilled Leg Quarters steamed down in the perfect sweet and Spicy sauce!,Payment,Authentic by Zee,,JX8PYF0KS12V4HEK9B6ANPAFG4,,ea,1
10/16/2018,15:03:07,Eastern Time (US & Canada),Chicken,Jerk Chicken,3,Regular,,,$19.50 ,($0.97),$18.53 ,$0.00 ,pgchHsD6fY0KmjWvaeDhPp2eV,tImc7TQmcHP1XLKndGVruvMF,,Rice and Cabbage,Payment,Authentic by Zee,,EJ2AYPF2490JZ4ESZMWSXTQ5YW,,ea,3
10/16/2018,15:03:07,Eastern Time (US & Canada),Beef,Short Ribs,2,Regular,,,$17.00 ,($0.85),$16.15 ,$0.00 ,pgchHsD6fY0KmjWvaeDhPp2eV,tImc7TQmcHP1XLKndGVruvMF,,,Payment,Authentic by Zee,,EJ2AYPF2490JZ4ESZMWSXTQ5YW,,ea,2
10/16/2018,15:03:07,Eastern Time (US & Canada),Chicken,BBQ Chicken,2,Regular,,,$12.00 ,($0.60),$11.40 ,$0.00 ,pgchHsD6fY0KmjWvaeDhPp2eV,tImc7TQmcHP1XLKndGVruvMF,,Cabbage an White Rice,Payment,Authentic by Zee,,EJ2AYPF2490JZ4ESZMWSXTQ5YW,,ea,2
10/16/2018,15:03:07,Eastern Time (US & Canada),Drinks,Authentic Mango Punch,1,Half Gallon,,,$15.00 ,($0.75),$14.25 ,$0.00 ,pgchHsD6fY0KmjWvaeDhPp2eV,tImc7TQmcHP1XLKndGVruvMF,,,Payment,Authentic by Zee,,EJ2AYPF2490JZ4ESZMWSXTQ5YW,,ea,1
10/16/2018,15:03:07,Eastern Time (US & Canada),Chicken,Curry chicken,2,Regular,,,$13.00 ,($0.65),$12.35 ,$0.00 ,pgchHsD6fY0KmjWvaeDhPp2eV,tImc7TQmcHP1XLKndGVruvMF,,,Payment,Authentic by Zee,,EJ2AYPF2490JZ4ESZMWSXTQ5YW,,ea,2
10/13/2018,11:40:02,Eastern Time (US & Canada),Beef,Short Ribs,1,Regular,,,$8.50 ,$0.00 ,$8.50 ,$0.00 ,RajRcNCMRxOxS9wRva2iElveV,RuTAsmyA7PLmw0LKOAluJQB,,,Payment,Authentic by Zee,,,,ea,1
10/13/2018,11:39:30,Eastern Time (US & Canada),None,Custom Amount,1,,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,DXBvoRQhs0EdCI2zdX42Dq5eV,BEsS8XzJmNZ3ULQO8HRlPuMF,,,Payment,Authentic by Zee,,VGMBTYC4X519PSGCD3K56AMYER,,ea,1
10/13/2018,11:37:48,Eastern Time (US & Canada),None,Custom Amount,1,,,,$7.50 ,$0.00 ,$7.50 ,$0.00 ,3nAj3qdK4DKTHMjk4vpE59seV,iUjvYjKzYmHsiGgJbMt6WuMF,,,Payment,Authentic by Zee,,HWC8SFR7NX684X3QCVTH3J0X44,,ea,1
10/13/2018,11:36:30,Eastern Time (US & Canada),None,Custom Amount,1,,,,$8.00 ,$0.00 ,$8.00 ,$0.00 ,jnlpMjBjaicbeG5zPuVtHj5eV,Hou3FofBAb9oQDmo7j49isMF,,,Payment,Authentic by Zee,,3D9S2PT3H92CMVRVVG3CRRC1VR,,ea,1
10/13/2018,11:35:31,Eastern Time (US & Canada),Chicken,BBQ Chicken,2,Regular,,,$12.00 ,$0.00 ,$12.00 ,$0.00 ,lk1yeKbPzIij0NiV3YpWfveeV,jHl9QajykytdPme0tiVZLQB,,,Payment,Authentic by Zee,,,,ea,2
10/13/2018,11:34:43,Eastern Time (US & Canada),Dessert,'Nana Pudding,1,Regular,,,$3.00 ,$0.00 ,$3.00 ,$0.00 ,DD3HageZK3y5wmNWuQKtbl5eV,47qC7Ch1wO4Fkxloo8SkGuMF,,,Payment,Authentic by Zee,,4N4QARHA2S2PASE9H83XR4GAVR,,ea,1
10/13/2018,11:34:43,Eastern Time (US & Canada),Beef,Short Ribs,2,Regular,,,$17.00 ,$0.00 ,$17.00 ,$0.00 ,DD3HageZK3y5wmNWuQKtbl5eV,47qC7Ch1wO4Fkxloo8SkGuMF,,,Payment,Authentic by Zee,,4N4QARHA2S2PASE9H83XR4GAVR,,ea,2
10/13/2018,11:32:51,Eastern Time (US & Canada),None,Chicken Fajitas,3,Regular,,,$22.50 ,$0.00 ,$22.50 ,$0.00 ,lQHgOCnnFAn55t6UGnDcx8oeV,R0E119dCUWuu8weVEMFOLQB,,"Chicken Breast grilled and cut up served on a flour tortilla, with seared bell peppers and onions with just the right amount of Cheesy goodness !",Payment,Authentic by Zee,,,,ea,3
10/6/2018,13:33:02,Eastern Time (US & Canada),None,Custom Amount,1,,,,$23.00 ,$0.00 ,$23.00 ,$0.00 ,3f4FNmkPRBgTdVxjdCPDpAleV,u6tdEGN9yT28bb22j18T4uMF,,,Payment,Authentic by Zee,,4N4QARHA2S2PASE9H83XR4GAVR,,ea,1
10/6/2018,11:31:01,Eastern Time (US & Canada),None,Jerk Chicken,1,Regular,,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,ZWPDPSB7Z5TQbhkhdz1mnqveV,BwyBy4dNwjBIuKMDzcH28tMF,,Juicy Grilled Leg Quarters steamed down in the perfect sweet and Spicy sauce!,Payment,Authentic by Zee,,HWC8SFR7NX684X3QCVTH3J0X44,,ea,1
10/6/2018,11:31:01,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Regular,,,$6.00 ,$0.00 ,$6.00 ,$0.00 ,ZWPDPSB7Z5TQbhkhdz1mnqveV,BwyBy4dNwjBIuKMDzcH28tMF,,,Payment,Authentic by Zee,,HWC8SFR7NX684X3QCVTH3J0X44,,ea,1
10/6/2018,11:31:01,Eastern Time (US & Canada),Sides,CORNBREAD CASSEROLE ,1,Regular,,,$2.00 ,$0.00 ,$2.00 ,$0.00 ,ZWPDPSB7Z5TQbhkhdz1mnqveV,BwyBy4dNwjBIuKMDzcH28tMF,,,Payment,Authentic by Zee,,HWC8SFR7NX684X3QCVTH3J0X44,,ea,1
9/29/2018,12:14:41,Eastern Time (US & Canada),None,Jerk Chicken,1,White,4,,$6.50 ,$0.00 ,$6.50 ,$0.45 ,PV9nKcOPAtQ9ZwquXFl1cSpeV,2F9Bhfbi8IZ9Jru8C9FL4wMF,,,Payment,Authentic by Zee,,HWC8SFR7NX684X3QCVTH3J0X44,,ea,1
9/29/2018,12:14:41,Eastern Time (US & Canada),Beef,Short Ribs,1,Regular,,,$8.50 ,$0.00 ,$8.50 ,$0.60 ,PV9nKcOPAtQ9ZwquXFl1cSpeV,2F9Bhfbi8IZ9Jru8C9FL4wMF,,,Payment,Authentic by Zee,,HWC8SFR7NX684X3QCVTH3J0X44,,ea,1
9/22/2018,11:33:09,Eastern Time (US & Canada),None,Jerk Chicken,2,White,4,,$13.00 ,$0.00 ,$13.00 ,$0.00 ,lycychfzP4mxpb0abl8TPJteV,ngW9n3R2wwcBXehIJppzUtMF,,,Payment,Authentic by Zee,,4N4QARHA2S2PASE9H83XR4GAVR,,ea,2
9/14/2018,12:16:37,Eastern Time (US & Canada),Chicken,BBQ Chicken,1,Regular,,,$6.00 ,$0.00 ,$6.00 ,$0.00 ,fruyvLfIBEQAOqU35KEJXC1eV,NUTYi27PMgOCV5kcZMGKitMF,,,Payment,Authentic by Zee,,3D9S2PT3H92CMVRVVG3CRRC1VR,,ea,1
9/14/2018,12:16:37,Eastern Time (US & Canada),None,Jerk Chicken,1,White,4,,$6.50 ,$0.00 ,$6.50 ,$0.00 ,fruyvLfIBEQAOqU35KEJXC1eV,NUTYi27PMgOCV5kcZMGKitMF,,,Payment,Authentic by Zee,,3D9S2PT3H92CMVRVVG3CRRC1VR,,ea,1
9/9/2018,19:50:28,Eastern Time (US & Canada),None,Custom Amount,1,,,,$10.00 ,$0.00 ,$10.00 ,$0.00 ,3BjggQIUFvCOKAcEp4QP7SAfV,kMhaUL6IikQfXc91rTUvqvMF,,,Payment,Authentic by Zee,,68WGKK1J0N6VAYDH7AZVJDVBE8,,ea,1
9/9/2018,19:49:32,Eastern Time (US & Canada),None,Custom Amount,1,,,,$10.00 ,$0.00 ,$10.00 ,$0.00 ,pkY0A5YhgJ8rweYDYD1ZsW7eV,dlGKBSPaTAAUWu6jPVkkVyMF,,,Payment,Authentic by Zee,,F2MM8ZJ6JH3MWH01BH0C48VVXW,,ea,1
9/9/2018,19:25:58,Eastern Time (US & Canada),None,Custom Amount,1,,,,$40.00 ,$0.00 ,$40.00 ,$0.00 ,35XkgGKOhsdoGBtuyHoKf61eV,jbRBUVD2JhO503TacVEKQyMF,,,Payment,Authentic by Zee,,61M2H5ASQH372S0SPB8BHPBFAM,,ea,1
9/9/2018,19:16:07,Eastern Time (US & Canada),None,Custom Amount,1,,,,$25.00 ,$0.00 ,$25.00 ,$0.00 ,Dn9vz7doW3KFjpelWOEc7DpeV,s4UmnebMwxc2F9032OSnIzMF,,,Payment,Authentic by Zee,,,,ea,1
